ID,Age,Partial Discharge,Visual Condition,Natural Corrosion,Loading,Health Index
406,39,0.5,Poor,0.87,526,2
407,17,0.06,Good,0.47,586,5
408,51,0.9,Poor,0.94,154,1
409,39,0.49,Poor,0.83,207,2
410,17,0.07,Good,0.5,505,5
411,15,0.05,Good,0.48,476,5
412,52,0.98,Poor,0.99,266,1
413,36,0.4,Poor,0.75,62,3
414,36,0.38,Poor,0.83,160,3
415,39,0.48,Poor,0.78,562,2
416,35,0.38,Poor,0.82,551,3
417,22,0.12,Medium,0.56,566,4
418,43,0.63,Poor,0.9,229,2
419,32,0.3,Poor,0.69,364,3
420,21,0.11,Medium,0.57,622,4
421,51,0.95,Poor,0.93,68,1
422,41,0.55,Poor,0.83,166,3
423,52,0.98,Poor,1,202,1
424,36,0.4,Poor,0.75,380,3
425,15,0.05,Good,0.44,435,5
426,22,0.12,Medium,0.61,113,4
427,17,0.07,Good,0.5,415,5
428,52,0.95,Poor,0.94,585,1
429,50,0.9,Poor,1,140,1
430,16,0.05,Good,0.49,180,5
431,29,0.25,Poor,0.65,527,3
432,33,0.31,Poor,0.78,497,3
433,40,0.53,Poor,0.85,141,3
434,41,0.52,Poor,0.84,571,2
435,34,0.35,Poor,0.75,267,3
436,15,0.05,Good,0.46,478,5
437,35,0.37,Poor,0.73,141,3
438,48,0.78,Poor,0.94,489,2
439,38,0.43,Poor,0.79,642,3
440,18,0.08,Good,0.49,449,5
441,35,0.39,Poor,0.76,108,3
